email,order_entered,energy_efficiency_ratio
aacey@rundofase.com,4,7.1
aacuff@rantouch.com,3,1.9
aamyot@ontomedia.com,1,2.1
aarceo@fasehatice.com,1,5.1
aarceo@fasehatice.com,4,1.1
aarceo@fasehatice.com,5,1.3
aarceo@fasehatice.com,6,3.0
aarceo@zoomit.com,1,3.9
aaredondo@plexzap.com,3,0.7
aasar@fasehatice.com,2,1.1
aasar@fasehatice.com,5,1.4
aasar@fasehatice.com,6,1.3
aauber@cancity.com,1,15.6
aauber@cancity.com,3,1.8
aauffrey@golddex.com,1,5.7
aauffrey@kinnamplus.com,1,1.3
aauffrey@rundofase.com,1,9.6
aauffrey@rundofase.com,2,3.4
abachman@yearin.com,1,3.0
abarfield@dambase.com,1,2.9
abarfield@finjob.com,6,8.9
abayless@faxquote.com,1,4.0
abayless@faxquote.com,2,1.5
abeech@donware.com,1,3.9
abeech@donware.com,3,1.9
abennick@labdrill.com,3,9.3
abevelacqua@zencorporation.com,1,2.2
abiddy@bioholding.com,1,1.7
abiddy@bioholding.com,3,1.1
abiddy@bioholding.com,4,2.4
abilden@labdrill.com,2,1.3
abilden@labdrill.com,4,2.1
abilden@labdrill.com,5,4.3
abirkner@ron-tech.com,1,1.5
ablackwood@codehow.com,4,3.1
aboord@y-corporation.com,1,2.0
aboord@y-corporation.com,2,1.8
aborgman@konex.com,1,1.7
aborgman@konex.com,3,4.3
abourbon@fasehatice.com,1,2.5
abowley@zoomit.com,1,1.2
abrachle@finjob.com,1,2.2
abrachle@finjob.com,2,2.9
abrachle@konmatfix.com,1,2.4
abrideau@streethex.com,2,1.8
abrideau@streethex.com,3,3.3
abrucato@plussunin.com,1,1.5
abrucato@plussunin.com,4,3.5
abruschke@plusstrip.com,1,3.8
abruschke@plusstrip.com,4,9.4
abruschke@plusstrip.com,8,1.7
abutzen@statholdings.com,1,10.1
abutzen@statholdings.com,2,1.3
abutzen@statholdings.com,3,2.3
abuvens@plusstrip.com,2,2.1
acaiafa@nam-zim.com,2,1.9
acaldarera@cancity.com,1,4.0
acaldarera@cancity.com,4,3.4
acalvaresi@nam-zim.com,1,1.7
acalvaresi@nam-zim.com,2,2.3
acalvaresi@ontomedia.com,3,2.2
acalvaresi@ontomedia.com,4,2.6
acalvaresi@ontomedia.com,6,2.5
acantres@dontechi.com,1,1.6
acantres@dontechi.com,2,13.1
acantres@dontechi.com,5,1.5
acantres@dontechi.com,6,4.6
achavous@xx-holding.com,2,1.4
achickering@rundofase.com,3,2.0
acloney@cancity.com,1,18.7
acoody@bioplex.com,2,1.6
acoody@finjob.com,1,0.5
acoody@finjob.com,2,0.7
acoody@finjob.com,4,3.0
acork@doncon.com,1,6.5
acork@doncon.com,3,1.6
acoyier@y-corporation.com,3,4.2
acoyier@y-corporation.com,4,3.4
adallen@finjob.com,2,7.4
adallen@finjob.com,6,1.7
adarakjy@plusstrip.com,2,4.0
adaufeldt@singletechno.com,2,1.1
adaufeldt@singletechno.com,3,1.9
adegonia@bioholding.com,3,2.7
adegonia@bioholding.com,4,1.8
adegonia@bioholding.com,7,2.6
adegroot@isdom.com,1,1.2
adegroot@isdom.com,3,1.3
adelasancha@faxquote.com,2,2.2
adelasancha@faxquote.com,3,1.9
ademesa@bioholding.com,1,1.3
ademesa@bioholding.com,3,9.8
adickerson@blackzim.com,2,1.2
adinos@rundofase.com,1,4.7
adinos@rundofase.com,3,1.6
adiscipio@iselectrics.com,2,2.0
adopico@scottech.com,1,11.6
adopico@scottech.com,3,2.5
adopico@scottech.com,4,4.4
aeanes@fasehatice.com,1,2.2
aeanes@fasehatice.com,3,1.6
aehmann@mathtouch.com,3,2.1
aestell@ganjaflex.com,3,1.8
afallick@kinnamplus.com,3,2.3
afarrar@donquadtech.com,6,6.6
afarrar@green-plus.com,1,2.1
afarrar@green-plus.com,3,1.6
afarrar@kan-code.com,1,1.5
afarrar@kan-code.com,3,4.8
afarrar@kan-code.com,4,12.7
afarrar@kan-code.com,6,1.5
afarrow@streethex.com,1,1.9
afeichtner@konex.com,1,2.2
afelger@doncon.com,1,1.0
afelger@doncon.com,2,1.8
afigeroa@dalttechnology.com,1,4.3
afigeroa@dalttechnology.com,2,3.0
afigeroa@dalttechnology.com,3,1.5
aflister@sonron.com,1,24.2
afortino@openlane.com,3,1.4
afrey@treequote.com,1,10.5
afritz@funholding.com,1,1.5
agabisi@dalttechnology.com,3,3.8
agabisi@ganjaflex.com,1,2.4
agato@hatfan.com,3,4.1
agato@hatfan.com,7,2.8
agato@ontomedia.com,6,5.8
agehrett@scotfind.com,1,8.9
agellinger@finhigh.com,1,1.6
agellinger@finhigh.com,4,3.7
agellinger@finhigh.com,6,1.2
agesick@rantouch.com,1,2.0
agesick@rantouch.com,3,4.3
