email,order_entered,heating_seasonal_performance_factor,seasonal_energy_efficiency_rating
aacey@rundofase.com,1,18.7,44.0
aacuff@rantouch.com,1,20.4,44.9
aacuff@rantouch.com,3,17.0,58.5
aalbares@cancity.com,1,23.4,48.5
aaquas@bioholding.com,1,17.5,39.6
aarceo@fasehatice.com,1,25.0,30.9
aarceo@zoomit.com,2,22.4,36.3
aaredondo@plexzap.com,1,22.1,41.1
aaredondo@plexzap.com,4,21.3,34.6
aarias@singletechno.com,2,22.4,62.6
aasar@fasehatice.com,4,22.4,49.7
aasar@fasehatice.com,5,23.2,43.3
aasar@fasehatice.com,6,23.1,54.7
aauber@cancity.com,2,21.8,44.0
aauffrey@golddex.com,1,21.0,30.5
aauffrey@kinnamplus.com,1,26.3,49.6
aauffrey@rundofase.com,1,19.4,44.9
abarfield@finjob.com,3,22.8,31.6
abarfield@finjob.com,5,22.3,54.4
abarfield@finjob.com,6,26.2,50.8
abayless@faxquote.com,3,18.1,52.2
abennick@labdrill.com,3,18.8,36.0
abevelacqua@zencorporation.com,1,19.3,31.0
abevelacqua@zencorporation.com,3,14.9,31.7
abiddy@bioholding.com,4,20.7,47.5
abilden@labdrill.com,1,21.5,28.7
abilden@labdrill.com,3,19.1,38.0
abilden@labdrill.com,4,22.4,53.6
aboord@dambase.com,1,25.3,43.4
aborgman@konex.com,1,20.8,28.9
aborgman@konex.com,2,21.9,43.5
abowley@zoomit.com,1,21.7,52.5
abrachle@finjob.com,3,16.8,62.2
abrideau@streethex.com,2,28.7,44.0
abrideau@streethex.com,5,26.2,42.8
abrucato@plussunin.com,2,27.1,40.6
abruschke@dambase.com,1,16.7,47.2
abruschke@plusstrip.com,2,25.7,45.6
abruschke@plusstrip.com,3,28.9,45.0
abruschke@plusstrip.com,4,21.7,47.9
abruschke@plusstrip.com,7,21.6,46.6
abuvens@plusstrip.com,3,21.2,44.2
acaiafa@nam-zim.com,3,24.1,39.1
acaiafa@nam-zim.com,4,27.7,44.1
acalvaresi@nam-zim.com,2,22.5,48.8
acalvaresi@nam-zim.com,5,12.7,35.5
acalvaresi@ontomedia.com,3,24.6,39.9
acalvaresi@ontomedia.com,5,24.0,34.0
acalvaresi@ontomedia.com,6,26.4,38.5
acantres@dontechi.com,3,20.5,48.9
acantres@dontechi.com,4,19.6,52.5
acantres@sonron.com,2,21.0,55.7
achavous@groovestreet.com,2,26.6,40.1
achavous@xx-holding.com,1,21.2,52.7
achavous@xx-holding.com,3,22.1,61.8
achickering@rundofase.com,2,18.4,59.7
acoody@bioplex.com,3,28.1,40.2
acoody@finjob.com,3,24.2,33.0
acoody@finjob.com,4,23.7,41.1
acork@doncon.com,1,25.7,51.3
acork@doncon.com,2,20.4,25.3
acoyier@y-corporation.com,4,32.1,34.5
adallen@finjob.com,2,27.1,26.1
adallen@finjob.com,6,15.5,33.2
adarakjy@plusstrip.com,1,21.7,33.3
adaufeldt@singletechno.com,3,20.0,43.0
adegonia@bioholding.com,2,16.7,50.1
adegonia@bioholding.com,3,20.8,47.6
adegonia@bioholding.com,6,28.5,53.8
adegonia@bioholding.com,7,21.3,47.6
adegroot@isdom.com,1,24.6,42.8
adegroot@isdom.com,2,24.3,44.0
ademesa@bioholding.com,2,27.4,48.8
adickerson@blackzim.com,1,21.2,22.0
adinos@rundofase.com,1,22.7,49.0
adiscipio@iselectrics.com,1,26.8,43.7
aeanes@fasehatice.com,1,29.1,40.0
aehmann@mathtouch.com,5,19.4,56.1
aehmann@mathtouch.com,6,24.1,39.5
aengelberg@scottech.com,1,22.0,30.0
aestell@zathunicon.com,1,24.3,48.0
afallick@kinnamplus.com,2,19.9,31.3
afarrar@donquadtech.com,2,17.9,13.2
afarrar@donquadtech.com,7,26.3,39.2
afarrar@green-plus.com,1,22.9,47.1
afarrar@green-plus.com,2,25.5,29.5
afarrar@kan-code.com,4,22.7,32.7
afarrar@kan-code.com,5,19.5,33.1
afarrow@streethex.com,1,16.0,50.9
afeichtner@konex.com,4,22.7,47.1
afelger@doncon.com,2,22.2,74.5
afelger@doncon.com,3,13.8,53.0
afritz@funholding.com,1,18.4,38.9
agato@hatfan.com,4,12.9,41.9
agato@hatfan.com,6,19.7,51.2
agato@hatfan.com,8,22.3,30.2
agato@hatfan.com,9,26.9,48.6
agato@hatfan.com,10,21.6,46.9
agato@ontomedia.com,1,27.0,62.8
agato@ontomedia.com,6,15.6,56.0
agellinger@condax.com,1,16.0,56.3
agellinger@condax.com,4,21.4,51.8
agellinger@finhigh.com,3,17.0,44.4
agesick@rantouch.com,1,20.0,30.3
agesick@rantouch.com,2,20.6,28.3
agillaspie@finhigh.com,2,23.4,43.5
agillaspie@finhigh.com,3,26.6,42.8
