email,order_entered,energy_source
aacey@rundofase.com,3,electric
aacuff@rantouch.com,1,electric
aacuff@rantouch.com,2,gas
aarceo@fasehatice.com,1,electric
aarceo@zoomit.com,2,electric
aarceo@zoomit.com,3,gas
aarias@singletechno.com,3,electric
aasar@fasehatice.com,1,electric
aasar@fasehatice.com,3,gas
aasar@fasehatice.com,5,gas
aauber@cancity.com,1,electric
aauffrey@golddex.com,1,gas
aauffrey@kinnamplus.com,1,electric
aauffrey@rundofase.com,3,electric
abarfield@dambase.com,2,electric
abarfield@dambase.com,3,electric
abarfield@finjob.com,2,gas
abayless@faxquote.com,1,gas
abayless@faxquote.com,3,electric
abeech@donware.com,2,electric
abennick@labdrill.com,1,gas
abennick@labdrill.com,2,gas
aberlanga@statholdings.com,2,gas
aberlanga@statholdings.com,3,electric
aberray@scottech.com,2,fuel oil
aberray@scottech.com,4,electric
abiddy@bioholding.com,3,gas
abirkner@ron-tech.com,1,electric
abirkner@ron-tech.com,2,fuel oil
abirkner@ron-tech.com,3,fuel oil
ablackwood@codehow.com,1,electric
ablackwood@codehow.com,2,fuel oil
aboord@y-corporation.com,3,electric
abourbon@fasehatice.com,1,electric
abrachle@finjob.com,1,electric
abrachle@finjob.com,2,gas
abrideau@streethex.com,3,electric
abrideau@streethex.com,4,gas
abrucato@plussunin.com,2,gas
abruschke@plusstrip.com,5,gas
abruschke@plusstrip.com,6,electric
abruschke@plusstrip.com,9,gas
abutzen@statholdings.com,1,gas
abutzen@statholdings.com,3,gas
abuvens@plusstrip.com,1,gas
abuvens@plusstrip.com,2,electric
acaiafa@nam-zim.com,1,gas
acaiafa@nam-zim.com,2,fuel oil
acaiafa@nam-zim.com,3,electric
acaiafa@nam-zim.com,5,gas
acaldarera@cancity.com,3,electric
acaldarera@cancity.com,4,electric
acalvaresi@nam-zim.com,3,fuel oil
acalvaresi@nam-zim.com,4,gas
acalvaresi@nam-zim.com,5,gas
acantres@sonron.com,1,gas
acantres@sonron.com,3,electric
acentini@groovestreet.com,1,electric
achaffins@openlane.com,1,electric
achavous@groovestreet.com,1,gas
achavous@groovestreet.com,3,gas
achesterfield@newex.com,1,electric
acoody@bioplex.com,1,gas
acoody@bioplex.com,4,gas
acoody@finjob.com,1,gas
acoody@finjob.com,3,electric
acoody@finjob.com,4,electric
acoyier@y-corporation.com,1,fuel oil
acoyier@y-corporation.com,5,electric
acoyier@y-corporation.com,6,fuel oil
acronauer@golddex.com,1,electric
acronauer@golddex.com,3,electric
adallen@finjob.com,5,electric
adarakjy@plusstrip.com,3,gas
adaufeldt@singletechno.com,3,electric
adegonia@bioholding.com,3,electric
adegroot@isdom.com,3,fuel oil
ademesa@bioholding.com,2,electric
ademesa@bioholding.com,3,electric
adhamer@xx-holding.com,2,electric
adickerson@blackzim.com,3,fuel oil
adickerson@plussunin.com,1,fuel oil
adopico@scottech.com,2,gas
aeanes@fasehatice.com,1,gas
aeanes@fasehatice.com,2,gas
aehmann@mathtouch.com,3,electric
aehmann@mathtouch.com,5,electric
aeschberger@yearin.com,1,gas
afarrar@donquadtech.com,4,gas
afarrar@donquadtech.com,5,gas
afarrar@green-plus.com,1,electric
afarrar@kan-code.com,3,gas
afarrow@streethex.com,2,electric
afarrow@streethex.com,3,electric
afeichtner@konex.com,2,gas
afeichtner@konex.com,3,gas
afeichtner@konex.com,4,electric
afigeroa@dalttechnology.com,2,electric
aflister@sonron.com,1,electric
afoller@gogozoom.com,1,electric
afoller@year-job.com,1,fuel oil
afortino@openlane.com,1,electric
afortino@openlane.com,2,electric
afortino@openlane.com,3,gas
afortino@openlane.com,4,electric
afritz@funholding.com,1,electric
agabisi@dalttechnology.com,3,gas
agato@hatfan.com,3,electric
agato@hatfan.com,7,electric
agato@ontomedia.com,2,fuel oil
agehrett@scotfind.com,1,gas
agellinger@condax.com,1,gas
agellinger@finhigh.com,5,electric
agellinger@finhigh.com,6,electric
agesick@rantouch.com,1,electric
agesick@rantouch.com,2,electric
agillaspie@finhigh.com,1,gas
agillaspie@finhigh.com,4,gas
agillian@ron-tech.com,1,electric
agillian@ron-tech.com,3,gas
agleich@doncon.com,3,gas
agleich@finjob.com,1,electric
aglick@treequote.com,4,gas
agobern@ontomedia.com,1,gas
agobern@ontomedia.com,2,electric
agobern@ontomedia.com,3,gas
agotter@isdom.com,3,electric
agotter@isdom.com,5,gas
agotter@isdom.com,6,electric
ahalter@sunnamplex.com,2,gas
ahamilton@cancity.com,2,electric
ahamilton@cancity.com,3,electric
aharoldson@zumgoity.com,3,electric
ahochard@hottechi.com,2,gas
ahochard@j-texon.com,2,fuel oil
ahochard@j-texon.com,4,gas
ahoopengardner@iselectrics.com,1,gas
ahoopengardner@zotware.com,3,gas
ahoopengardner@zumgoity.com,4,gas
aisenhower@doncon.com,1,gas
ajacobos@kan-code.com,3,gas
ajeanty@gogozoom.com,1,electric
ajeanty@zoomit.com,1,gas
ajeanty@zoomit.com,2,electric
ajeanty@zoomit.com,3,electric
ajulia@zathunicon.com,1,electric
ajulia@zathunicon.com,2,electric
ajulia@zathunicon.com,3,electric
ajurney@silis.com,1,electric
ajurney@silis.com,2,electric
ajurney@silis.com,3,electric
ajurney@silis.com,5,electric
ajurney@silis.com,6,electric
akaniecki@zathunicon.com,3,gas
akardas@green-plus.com,3,electric
akarpin@singletechno.com,1,electric
akarpin@singletechno.com,3,electric
akarpin@singletechno.com,4,gas
akarpin@singletechno.com,7,electric
aketelsen@xx-holding.com,2,electric
aketelsen@xx-holding.com,4,gas
akitty@zathunicon.com,1,electric
akitzman@sonron.com,1,fuel oil
akitzman@sonron.com,4,electric
aklang@newex.com,1,electric
aklang@newex.com,2,electric
aklimek@sonron.com,1,electric
aklonowski@donquadtech.com,3,gas
akohl@hottechi.com,1,gas
akohl@hottechi.com,2,electric
akohl@hottechi.com,4,gas
akonopacki@golddex.com,1,gas
akulzer@scotfind.com,4,electric
alacovara@hatfan.com,2,gas
alapage@ontomedia.com,2,gas
alatzke@faxquote.com,1,electric
alatzke@faxquote.com,2,gas
alatzke@faxquote.com,4,electric
alayous@dontechi.com,1,electric
alayous@statholdings.com,1,electric
alayous@statholdings.com,2,gas
alietz@j-texon.com,4,electric
alietz@j-texon.com,7,electric
alietz@j-texon.com,9,electric
aloder@rundofase.com,1,gas
aloder@rundofase.com,2,gas
alother@doncon.com,1,electric
alungren@opentech.com,3,electric
alungren@opentech.com,5,electric
alungren@opentech.com,7,electric
alungren@opentech.com,9,gas
amai@warephase.com,1,electric
amai@warephase.com,2,fuel oil
amaillard@bioholding.com,2,gas
amaillard@plexzap.com,2,electric
amallett@plussunin.com,1,electric
amallett@plussunin.com,2,gas
amarrier@hatfan.com,1,electric
amarrier@zoomit.com,1,electric
amartabano@ron-tech.com,1,gas
amartabano@ron-tech.com,4,gas
amatuszak@dalttechnology.com,5,gas
amatuszak@dalttechnology.com,6,electric
amaybury@rundofase.com,1,gas
amaybury@rundofase.com,3,gas
amaybury@rundofase.com,4,electric
amaynerich@treequote.com,1,gas
amaynerich@treequote.com,2,gas
amccullan@plexzap.com,1,electric
amconnell@zumgoity.com,1,electric
ameteer@betatech.com,1,electric
ameteer@betatech.com,3,gas
amiceli@funholding.com,2,electric
amirafuentes@finhigh.com,1,electric
amirafuentes@finhigh.com,4,electric
amirafuentes@finhigh.com,7,electric
amirafuentes@newex.com,2,electric
amirafuentes@newex.com,4,gas
amirafuentes@newex.com,5,electric
amirafuentes@newex.com,6,gas
amiro@groovestreet.com,1,electric
amiro@groovestreet.com,4,gas
amiro@groovestreet.com,5,electric
amiro@groovestreet.com,6,electric
amodzelewski@yearin.com,1,electric
amonarrez@inity.com,1,gas
amonarrez@inity.com,2,gas
amondella@funholding.com,1,gas
amondella@funholding.com,2,electric
amondella@zathunicon.com,2,fuel oil
amondella@zathunicon.com,4,gas
amonterrubio@domzoom.com,2,electric
amonterrubio@domzoom.com,3,electric
