email,square_footage,household_type,thermostat_setting_heating,thermostat_setting_cooling,postal_code
aacey@rundofase.com,1163,apartment,NULL,72,95335
aacuff@rantouch.com,1138,townhome,74,75,25420
aalbares@cancity.com,237,"mobile home",67,NULL,81019
aamyot@ontomedia.com,479,apartment,74,73,47169
aaquas@bioholding.com,777,house,69,NULL,04637
aarceo@fasehatice.com,1852,apartment,71,NULL,92258
aarceo@zoomit.com,1244,house,69,76,73056
aaredondo@plexzap.com,433,"mobile home",NULL,70,96110
aarias@goodsilron.com,871,house,72,75,49325
aarias@singletechno.com,921,apartment,75,74,92869
aasar@fasehatice.com,1775,apartment,71,73,02670
aauber@cancity.com,1565,house,72,NULL,48859
aauffrey@golddex.com,790,townhome,69,71,74871
aauffrey@kinnamplus.com,461,house,69,75,75138
aauffrey@rundofase.com,1036,apartment,71,71,99330
abachman@yearin.com,406,townhome,74,72,78474
abarfield@dambase.com,835,apartment,72,74,71050
abarfield@finjob.com,2309,house,69,74,43733
abatman@toughzap.com,91,townhome,69,69,62321
abayless@faxquote.com,934,apartment,74,74,66434
abeech@donware.com,1317,townhome,78,NULL,74462
abennick@labdrill.com,1012,apartment,68,NULL,31321
aberlanga@statholdings.com,1386,house,NULL,NULL,14639
aberray@scottech.com,1549,house,NULL,72,92368
abevelacqua@zencorporation.com,738,apartment,72,71,93202
abiddy@bioholding.com,1038,apartment,66,72,79938
abilden@labdrill.com,2199,house,70,73,20142
abilden@xx-holding.com,483,condominium,73,76,92416
abirkner@ron-tech.com,850,townhome,73,74,91202
ablackwood@codehow.com,1272,condominium,73,NULL,47921
aboord@dambase.com,458,apartment,75,73,29150
aboord@y-corporation.com,1067,apartment,78,71,88525
aborgman@konex.com,816,apartment,69,74,79966
abourbon@fasehatice.com,688,townhome,69,72,10096
abowley@zoomit.com,740,apartment,74,NULL,92271
abrachle@finjob.com,1726,townhome,NULL,72,32561
abrachle@konmatfix.com,425,apartment,73,75,97841
abrideau@streethex.com,2259,house,NULL,76,44683
abrossart@faxquote.com,233,house,73,71,36769
abrucato@plussunin.com,1610,house,NULL,70,74136
abruschke@dambase.com,675,house,NULL,75,30047
abruschke@plusstrip.com,2909,condominium,77,NULL,85306
abutzen@statholdings.com,1493,condominium,71,75,42337
abuvens@plusstrip.com,997,house,NULL,72,71486
acaiafa@nam-zim.com,2417,house,72,69,13308
acaldarera@cancity.com,1344,townhome,NULL,73,06853
acalvaresi@nam-zim.com,3067,house,71,71,26338
acalvaresi@ontomedia.com,1554,condominium,NULL,73,55127
acanlas@xx-zobam.com,759,house,73,70,93130
acantres@dontechi.com,2190,condominium,65,72,05466
acantres@sonron.com,1131,apartment,74,70,25431
acentini@groovestreet.com,162,"mobile home",73,74,15960
achaffins@openlane.com,489,townhome,NULL,74,11719
achavous@groovestreet.com,1018,apartment,73,74,15380
achavous@xx-holding.com,835,townhome,73,72,30410
achesterfield@newex.com,566,condominium,73,NULL,64658
achickering@rundofase.com,1355,townhome,NULL,NULL,52047
aclaucherty@toughzap.com,556,apartment,73,NULL,65062
acloney@cancity.com,756,townhome,71,72,17047
acolla@zathunicon.com,784,house,73,NULL,67344
acoody@bioplex.com,494,"mobile home",71,69,53449
acoody@finjob.com,456,"mobile home",71,72,32762
acoody@sumace.com,113,house,75,72,30019
acork@doncon.com,1285,apartment,74,72,38055
acoyier@y-corporation.com,2769,house,NULL,75,52052
acronauer@golddex.com,1429,apartment,67,73,97350
adallen@finjob.com,2244,apartment,64,74,23181
adarakjy@plusstrip.com,1654,house,69,75,84029
adaufeldt@singletechno.com,936,condominium,NULL,75,07650
adegonia@bioholding.com,3435,house,76,74,36558
adegonia@zathunicon.com,166,apartment,70,NULL,19457
adegroot@isdom.com,897,house,74,71,21856
adelasancha@faxquote.com,1031,apartment,71,70,84766
ademesa@bioholding.com,1047,condominium,NULL,NULL,76210
ademesa@zoomit.com,701,condominium,NULL,72,67639
adenooyer@finhigh.com,451,apartment,NULL,68,45208
adhamer@xx-holding.com,915,apartment,70,75,04354
adickerson@blackzim.com,701,apartment,76,NULL,11566
adickerson@plussunin.com,424,apartment,69,NULL,76258
adinos@rundofase.com,1289,townhome,74,74,68854
adiscipio@ganjaflex.com,53,condominium,72,74,04321
adiscipio@iselectrics.com,1098,townhome,70,71,30357
adiscipio@warephase.com,161,condominium,69,70,62447
adopico@scottech.com,2378,house,76,NULL,49258
aeanes@fasehatice.com,901,apartment,76,NULL,68108
aeanes@scottech.com,585,house,69,NULL,98336
aehmann@mathtouch.com,2230,house,71,73,62999
aengelberg@dontechi.com,1104,house,NULL,72,52248
aengelberg@scottech.com,739,house,71,NULL,71720
aeschberger@yearin.com,737,house,74,69,92507
aestell@ganjaflex.com,778,apartment,68,NULL,98102
aestell@zathunicon.com,927,townhome,67,NULL,40009
afallick@kinnamplus.com,1174,townhome,70,NULL,72179
afarrar@donquadtech.com,3670,house,73,NULL,18248
afarrar@green-plus.com,1117,townhome,NULL,73,29373
afarrar@kan-code.com,2035,house,73,71,73756
afarrow@isdom.com,431,apartment,75,70,36015
afarrow@streethex.com,943,apartment,76,NULL,84627
afeichtner@konex.com,1668,townhome,75,NULL,48236
afelger@betatech.com,937,townhome,75,NULL,48725
afelger@doncon.com,904,apartment,66,76,72631
afigeroa@dalttechnology.com,1143,townhome,69,72,23190
aflister@sonron.com,799,house,75,75,59639
afoller@gogozoom.com,712,condominium,68,NULL,80524
afoller@year-job.com,566,house,72,NULL,46947
afortino@openlane.com,940,apartment,70,72,63822
afrey@treequote.com,612,house,70,72,24565
afritz@funholding.com,595,townhome,69,NULL,15626
agabisi@dalttechnology.com,1233,apartment,72,71,04539
agabisi@ganjaflex.com,390,apartment,66,70,38039
agato@hatfan.com,4790,house,77,NULL,57334
agato@ontomedia.com,2012,apartment,74,NULL,57717
agehrett@scotfind.com,687,townhome,73,70,14129
agellinger@condax.com,1367,apartment,66,73,71259
agellinger@finhigh.com,1017,"mobile home",76,NULL,50470
agesick@rantouch.com,1012,apartment,76,NULL,41522
agiguere@plusstrip.com,111,house,74,70,04471
