email,order_entered,capacity,current_temperature_setting,energy_source
aacey@rundofase.com,2,38.6,149,gas
aarceo@fasehatice.com,2,35.8,205,thermosolar
aarceo@fasehatice.com,3,18.0,NULL,electric
aaredondo@plexzap.com,2,21.0,103,heat pump
aarias@goodsilron.com,1,69.8,NULL,gas
aarias@singletechno.com,1,14.0,124,thermosolar
abarfield@finjob.com,1,41.7,176,electric
abarfield@finjob.com,4,18.5,119,gas
aberlanga@statholdings.com,1,39.6,NULL,thermosolar
aberray@scottech.com,1,28.7,187,heat pump
aberray@scottech.com,3,37.8,103,gas
abevelacqua@zencorporation.com,2,11.9,187,electric
abiddy@bioholding.com,2,43.0,115,gas
abilden@labdrill.com,6,10.4,219,electric
abilden@xx-holding.com,1,71.5,151,gas
ablackwood@codehow.com,3,14.2,102,electric
abowley@zoomit.com,2,42.0,110,heat pump
abowley@zoomit.com,3,63.7,104,thermosolar
abrachle@finjob.com,4,56.7,NULL,heat pump
abrideau@streethex.com,1,29.8,95,gas
abrideau@streethex.com,6,93.5,NULL,gas
abrucato@plussunin.com,3,22.1,112,gas
acaiafa@nam-zim.com,6,45.4,112,electric
acaldarera@cancity.com,2,51.3,173,gas
acalvaresi@nam-zim.com,6,49.0,166,gas
acalvaresi@nam-zim.com,7,14.1,98,electric
acalvaresi@ontomedia.com,1,32.1,106,gas
acalvaresi@ontomedia.com,2,31.3,105,heat pump
acanlas@xx-zobam.com,1,46.4,92,electric
acantres@sonron.com,4,42.5,120,thermosolar
achickering@rundofase.com,1,51.5,260,thermosolar
aclaucherty@toughzap.com,1,15.1,144,thermosolar
acolla@zathunicon.com,1,29.2,107,electric
acork@doncon.com,4,55.8,96,electric
acoyier@y-corporation.com,2,92.1,192,gas
acronauer@golddex.com,2,30.6,263,gas
acronauer@golddex.com,4,48.5,113,thermosolar
adallen@finjob.com,1,63.7,241,thermosolar
adallen@finjob.com,3,67.5,222,electric
adallen@finjob.com,4,46.7,161,thermosolar
adallen@finjob.com,7,32.2,136,gas
adarakjy@plusstrip.com,4,61.1,156,electric
adaufeldt@singletechno.com,1,48.9,129,electric
adegonia@bioholding.com,1,29.6,111,electric
adegonia@bioholding.com,5,33.7,117,gas
adegonia@bioholding.com,8,13.2,NULL,electric
adegonia@bioholding.com,9,55.0,114,gas
adelasancha@faxquote.com,1,12.3,196,thermosolar
ademesa@zoomit.com,1,17.3,126,gas
adenooyer@finhigh.com,1,34.6,126,electric
adhamer@xx-holding.com,1,13.2,NULL,electric
adhamer@xx-holding.com,3,15.5,NULL,gas
adinos@rundofase.com,2,67.5,229,thermosolar
adiscipio@iselectrics.com,3,26.0,130,electric
aeanes@scottech.com,1,26.1,NULL,electric
aehmann@mathtouch.com,1,33.4,119,electric
aehmann@mathtouch.com,2,11.3,NULL,gas
aehmann@mathtouch.com,4,33.8,101,gas
aengelberg@dontechi.com,1,10.4,134,electric
aengelberg@dontechi.com,2,84.1,132,thermosolar
aengelberg@dontechi.com,3,18.1,231,thermosolar
aestell@ganjaflex.com,1,51.8,143,gas
aestell@ganjaflex.com,2,51.3,239,electric
afallick@kinnamplus.com,1,29.2,153,electric
afarrar@donquadtech.com,1,46.3,174,gas
afarrar@donquadtech.com,3,45.9,NULL,thermosolar
afarrar@kan-code.com,2,73.7,169,thermosolar
afarrow@isdom.com,1,28.0,228,electric
afelger@betatech.com,1,65.4,NULL,gas
agabisi@dalttechnology.com,1,36.3,136,gas
agabisi@dalttechnology.com,2,33.0,94,electric
agato@hatfan.com,1,80.7,169,heat pump
agato@hatfan.com,2,17.9,NULL,heat pump
agato@hatfan.com,5,12.9,179,thermosolar
agato@ontomedia.com,3,64.6,91,gas
agato@ontomedia.com,4,41.7,106,electric
agato@ontomedia.com,5,76.6,152,electric
agellinger@condax.com,2,50.8,110,gas
agellinger@condax.com,3,44.8,118,heat pump
agellinger@finhigh.com,2,17.7,130,electric
agleich@doncon.com,1,53.9,205,gas
agleich@doncon.com,2,22.4,97,heat pump
aglick@treequote.com,3,48.2,NULL,gas
aglick@treequote.com,6,11.6,112,electric
agochal@blackzim.com,1,33.3,170,gas
agochal@blackzim.com,3,81.2,134,electric
agochal@toughzap.com,1,11.7,112,gas
agotter@isdom.com,2,122.6,96,thermosolar
ahalter@sunnamplex.com,1,87.8,114,gas
ahalter@sunnamplex.com,4,14.6,101,thermosolar
ahamilton@cancity.com,1,66.0,103,gas
aharabedian@inity.com,4,26.1,NULL,electric
aharnos@bioholding.com,3,64.0,95,electric
aheintzman@donware.com,1,57.5,199,electric
ahochard@hottechi.com,1,17.2,249,gas
ahochard@j-texon.com,1,68.4,313,electric
ahochard@j-texon.com,3,16.4,112,electric
ahollack@codehow.com,1,19.8,182,electric
ahoogland@zencorporation.com,1,13.2,144,thermosolar
ahoogland@zencorporation.com,5,36.7,146,electric
ahoopengardner@iselectrics.com,2,60.5,102,electric
ahoopengardner@kan-code.com,2,19.5,245,thermosolar
ahoopengardner@kan-code.com,4,29.1,168,electric
ahoopengardner@zumgoity.com,1,30.7,NULL,gas
aisenhower@warephase.com,1,21.8,101,thermosolar
ajacobos@gogozoom.com,1,37.0,90,thermosolar
ajayson@newex.com,1,39.3,198,electric
akampa@plusstrip.com,1,64.2,239,gas
akaniecki@zathunicon.com,1,36.3,NULL,gas
akarpin@faxquote.com,4,19.3,108,thermosolar
akarpin@faxquote.com,5,62.9,143,electric
akarpin@faxquote.com,7,18.0,136,electric
akeneipp@groovestreet.com,1,18.8,115,electric
aketelsen@xx-holding.com,1,15.0,128,heat pump
akiel@codehow.com,1,45.6,133,electric
akiel@codehow.com,3,18.7,129,gas
akines@labdrill.com,1,13.3,240,thermosolar
akippley@stanredtax.com,1,61.7,103,electric
akippley@stanredtax.com,2,85.7,112,electric
akitty@zathunicon.com,3,66.3,167,gas
aklang@newex.com,3,55.6,NULL,electric
akohl@hottechi.com,3,26.3,133,thermosolar
akoppinger@sunnamplex.com,1,31.0,154,electric
akorando@doncon.com,1,81.7,196,thermosolar
akorando@finjob.com,3,21.4,NULL,electric
alacovara@hatfan.com,3,33.4,229,gas
alacovara@hatfan.com,4,72.4,NULL,gas
alatzke@faxquote.com,3,44.0,NULL,gas
alayous@dontechi.com,3,101.6,111,electric
aleinenbach@green-plus.com,4,26.2,244,electric
alietz@j-texon.com,2,49.3,105,gas
aliukko@hatfan.com,3,34.2,109,gas
alother@doncon.com,2,29.4,113,gas
alother@doncon.com,3,14.0,193,gas
alother@doncon.com,4,30.1,124,gas
aluczki@konmatfix.com,2,15.3,224,heat pump
aluczki@konmatfix.com,3,13.5,108,electric
amaillard@bioholding.com,1,32.5,114,heat pump
amaillard@plexzap.com,1,12.0,NULL,thermosolar
amatuszak@dalttechnology.com,2,78.6,101,gas
amatuszak@dalttechnology.com,3,16.3,214,electric
amirafuentes@finhigh.com,6,16.9,98,heat pump
amirafuentes@newex.com,1,28.1,96,electric
amirafuentes@plexzap.com,1,14.9,135,gas
amiro@groovestreet.com,2,37.5,200,electric
amodzelewski@yearin.com,2,39.9,NULL,electric
amonarrez@funholding.com,1,81.6,NULL,electric
amondella@funholding.com,3,17.3,211,electric
amondella@funholding.com,5,64.5,133,electric
amondella@funholding.com,7,78.0,103,electric
amondella@sumace.com,1,14.2,103,gas
amondella@zathunicon.com,1,38.1,200,electric
amorocco@rantouch.com,2,57.2,187,electric
amorocco@rantouch.com,3,78.8,114,gas
amoyd@betatech.com,3,26.2,NULL,electric
amyricks@konmatfix.com,2,29.6,95,thermosolar
amyricks@konmatfix.com,3,39.9,100,electric
amyricks@sonron.com,2,44.9,99,electric
anewville@newex.com,1,54.1,221,electric
anewville@warephase.com,1,16.8,95,electric
anewville@warephase.com,2,16.1,156,gas
anievas@hottechi.com,4,33.3,101,electric
aogg@warephase.com,1,29.9,110,electric
aonofrio@conecom.com,2,16.3,116,electric
apagliuca@xx-zobam.com,1,56.4,128,electric
apagliuca@xx-zobam.com,2,11.8,169,gas
apalaia@hatfan.com,1,14.1,96,thermosolar
aparlato@doncon.com,2,20.8,142,electric
aparlato@groovestreet.com,1,48.9,168,electric
apedrozo@silis.com,3,17.6,146,electric
apelkowski@warephase.com,1,47.4,109,gas
aperez@sonron.com,1,61.2,99,electric
aperez@sonron.com,2,12.5,114,heat pump
apoquette@faxquote.com,3,52.4,NULL,electric
apugh@lexiqvolax.com,2,93.9,137,thermosolar
aradde@plussunin.com,3,74.4,NULL,gas
arantanen@singletechno.com,2,16.3,100,gas
araymo@funholding.com,3,26.8,161,thermosolar
araymo@funholding.com,4,12.2,193,gas
araymo@rundofase.com,1,88.2,151,thermosolar
areiber@scottech.com,2,60.8,224,gas
areiber@scottech.com,5,67.9,115,thermosolar
areiber@scottech.com,9,53.9,158,gas
arestrepo@zumgoity.com,2,13.9,124,gas
arhoden@zathunicon.com,3,55.5,197,heat pump
ariden@hatfan.com,1,44.3,126,heat pump
arodefer@sumace.com,4,18.1,106,gas
arowling@stanredtax.com,1,44.0,103,gas
arulapaugh@labdrill.com,1,103.2,NULL,gas
asaylors@rantouch.com,2,85.6,111,thermosolar
asaylors@sunnamplex.com,4,63.4,118,heat pump
asaylors@zumgoity.com,1,63.9,211,thermosolar
ascheyer@ontomedia.com,3,37.1,153,electric
ascheyer@ron-tech.com,3,31.0,113,gas
ascheyer@ron-tech.com,5,60.2,108,electric
aschieler@ron-tech.com,2,50.2,159,electric
aschmaltz@zencorporation.com,1,10.4,91,electric
aschnitzler@fasehatice.com,2,12.5,100,electric
aschoeneck@finjob.com,1,32.3,157,electric
aschoeneck@scottech.com,3,12.5,115,heat pump
ascriven@hatfan.com,2,10.5,113,electric
aseewald@conecom.com,3,12.6,210,electric
aseewald@conecom.com,5,30.5,165,electric
aseewald@conecom.com,6,38.7,194,electric
aseewald@doncon.com,2,30.3,173,thermosolar
asengbusch@fasehatice.com,3,33.7,95,thermosolar
asergi@stanredtax.com,1,93.9,93,electric
asergi@stanredtax.com,2,54.4,108,heat pump
asergi@stanredtax.com,3,56.6,108,electric
asergi@stanredtax.com,4,61.4,106,thermosolar
asilvestrini@plussunin.com,2,41.3,104,gas
asilvestrini@sunnamplex.com,6,11.2,NULL,gas
asimilton@dontechi.com,2,48.6,155,electric
asimilton@dontechi.com,3,10.4,246,electric
asimilton@plussunin.com,3,22.8,101,electric
askulski@blackzim.com,1,33.4,126,electric
astaback@kinnamplus.com,2,17.9,105,electric
astenseth@ontomedia.com,4,10.9,107,thermosolar
astimmel@bioholding.com,4,18.7,116,thermosolar
astoltzman@domzoom.com,3,54.3,107,gas
astoltzman@zotware.com,5,18.6,106,electric
ategarden@treequote.com,2,49.5,171,thermosolar
atheodorov@fasehatice.com,1,46.8,107,electric
atreston@condax.com,2,36.1,NULL,gas
atromblay@j-texon.com,1,10.6,149,thermosolar
aturinetti@scotfind.com,1,31.9,125,electric
aupthegrove@hatfan.com,3,29.0,NULL,gas
auyetake@toughzap.com,1,53.3,125,gas
avanausdal@streethex.com,1,62.8,NULL,gas
avizarro@ganjaflex.com,1,14.1,112,gas
aweglarz@warephase.com,1,95.6,119,electric
aweirather@funholding.com,1,18.5,174,gas
awenner@bioplex.com,1,22.6,116,heat pump
awenner@bioplex.com,2,84.0,202,electric
awhobrey@zathunicon.com,1,58.6,168,heat pump
awhobrey@zathunicon.com,2,69.9,92,electric
awiklund@gogozoom.com,4,12.6,118,gas
awiklund@gogozoom.com,5,15.9,125,gas
awildfong@faxquote.com,2,39.8,NULL,gas
aworlds@ganjaflex.com,1,101.6,113,electric
aworlds@ganjaflex.com,3,61.0,174,heat pump
aworlds@plussunin.com,2,11.1,NULL,electric
aworlds@plussunin.com,6,71.4,105,thermosolar
aworlds@stanredtax.com,5,37.5,114,thermosolar
azagen@plussunin.com,3,15.7,NULL,thermosolar
azane@zencorporation.com,1,19.6,282,thermosolar
bacuff@groovestreet.com,1,59.7,NULL,heat pump
bagramonte@zumgoity.com,3,10.0,182,gas
bahle@golddex.com,1,28.0,216,gas
bahle@golddex.com,3,39.3,92,gas
bahle@stanredtax.com,1,72.3,95,heat pump
bangalich@xx-zobam.com,3,16.5,172,electric
barias@silis.com,3,47.5,154,gas
basar@fasehatice.com,3,38.6,103,electric
bbenimadho@dalttechnology.com,1,85.7,184,gas
bbenimadho@dalttechnology.com,2,64.8,NULL,gas
bbenimadho@funholding.com,4,15.1,NULL,electric
bberganza@streethex.com,3,14.0,195,electric
bblackwood@rangreen.com,6,16.8,106,gas
bblackwood@rangreen.com,11,17.6,93,electric
bbreland@zathunicon.com,1,59.9,160,electric
bbrossart@konex.com,3,10.0,190,electric
bbubash@cancity.com,3,12.3,99,electric
bchavous@kinnamplus.com,3,52.2,205,thermosolar
bcloney@groovestreet.com,1,73.5,174,electric
